idavis;idsociete;titreAvis;descriptionAvis;avantageAvis;inconvenientAvis;noteMoyenneAvis
794;167;« je déconseille »;J'ai travaillé chez Fortuneo SA à;"Avantages- Ambiance générale bonne,
- Recrutement rapide";"Inconvénients- Pas de formations,
- Responsables d'équipes sous l'eau et qui n'ont pas le temps pour vous,
- Faible considération hiérarchique, 
- Des horaires à rallonge, charge de travail très importante et aucune reconnaissance";3.5
795;167;« Entreprise intéressante dans un contexte stimulant. »;Je travaille chez Fortuneo SA à temps plein depuis moins d'un an;"AvantagesBeaucoup de sujets dans un univers concurrentiel en pleine mutation.
Bonne ambiance de travail, les bon cotés d'une PME avec les avantages d'un grand groupe (congès, intéressement...)";InconvénientsDes outils internes un peu old school pour une entreprise du Web.;3.5
796;167;« Pas pour les personnes actives. Trop de processus »;Je travaille chez Fortuneo SA à temps plein depuis plus d'un an;AvantagesUn bon équilibre vie professionnelle – vie privée;InconvénientsMicro management, pas de vrai processus. Travail en silos.;3.5
797;167;« Bonne ambiance de travail, secteur dynamique et porteur »;Je travaille chez Fortuneo SA à temps plein depuis plus d'un an;;;3.5
798;167;« Une experience riche »;J'ai travaillé chez Fortuneo SA à  moins d'un an;;;3.5
799;167;« Equipe dynamique et jeune, bonne ambiance de travail »;J'ai travaillé chez Fortuneo SA à;;;3.5
800;167;« Bonne entreprise pour apprendre mais pour aller ensuite évoluer ailleurs »;J'ai travaillé chez Fortuneo SA à  plus d'un an;;;3.5
801;167;« Entreprise jeune et dynamique sur un marché porteur »;Je travaille chez Fortuneo SA à  depuis plus de 3 ans;;;3.5
802;38;« Superbe entreprise »;Je travaille chez Adsearch à temps plein depuis plus d'un an;;;4.5
803;38;« Belle entreprise avec des valeurs fortes »;J'ai travaillé chez Adsearch à temps plein plus de 3 ans;;;4.5
804;38;« Entreprise belle et dynamique »;Je travaille chez Adsearch à temps plein;;;4.5
805;38;« Bon vivre »;Je travaille chez Adsearch à temps plein depuis plus de 3 ans;;;4.5
806;38;« Entreprise avec de jolies valeurs ! »;Je travaille chez Adsearch à temps plein depuis plus de 3 ans;;;4.5
807;38;« une entreprise dans laquelle il fait bon vivre »;Je travaille chez Adsearch à temps plein depuis plus de 5 ans;;;4.5
808;38;« Société au TOP !! »;Je travaille chez Adsearch à temps plein depuis plus de 3 ans;;;4.5
809;38;« Une entreprise humaine »;Je travaille chez Adsearch à temps plein depuis moins d'un an;;;4.5
810;38;« Très bonne expérience »;Je travaille chez Adsearch à  depuis moins d'un an;;;4.5
811;38;« Une expérience exceptionnelle !! »;Je travaille chez Adsearch à temps plein;;;4.5
812;38;« Une honte pour le monde du recrutement ! »;J'ai travaillé chez Adsearch à temps plein plus d'un an;AvantagesSi vous trouvez les avantages je suis preneur !;InconvénientsDe la vrai poudre aux yeux. Un turnover incroyable des équipes. On vous force la main pour répondre au questionnaire du great place to work ! On vous pousse pour que vous mettiez la meilleure note. Des managers inexistants qui ne sont pas à l’écoute ! Veut prôner des valeurs humaines mais inexistantes ! Aucune parole n’est tenue de la part de la direction ! Je vous livre cette avis pour pas que vous tombiez dans le...piège. Les autres commentaires sont écrit pas des personnes en poste ou des membres de la direction et du marketing.  Le suivi candidat n’est pas fait ! On fixe des objectifs irréalistes au nouveau consultant qui n’ont jamais eu d’expérience dans le recrutement. Il faut vous remette en question !! Vous êtes encore loin des leaders de ce marché !Dérouler;4.5
813;38;« De la poudre aux yeux »;J'ai travaillé chez Adsearch à temps plein plus d'un an;AvantagesEn cours de réflexion ...;"InconvénientsUn turnover record, les juniors ca ne coûte pas cher mais encore faudrait-il prendre le temps de les former. 
Qualité de service: les managers n'aiment pas les dossier de candidatures trop complets, bah oui, ca prend du temps... 
Dénigrent les cabinets anglo-saxons pour faire la même chose";4.5
814;38;« de belles valeurs »;Je travaille chez Adsearch à temps plein;"Avantagesune très belle culture d'entreprise
les valeurs familiales se ressentent réellement, autonomie, responsabilités, simplicité, authenticité...et de l'ambition.
Un beau projet d'entreprise, du développement sans renier les valeurs";Inconvénientsa ce stade rien à signaler;4.5
815;38;« Un esprit familial »;Je travaille chez Adsearch à;AvantagesEntreprise en plein développement en France et à l’international. Il y a beaucoup de perspectives d’évolution et la direction nous laisse beaucoup d’autonomie. Environnement propice à l’épanouissement professionnel.;InconvénientsCette entreprise est certainement plus adaptée à des personnes expérimentées dans le métier (hormis certaines divisions de recrutement dans lesquelles des juniors peuvent s’adapter).;4.5
816;38;« Entreprise épanouissante !! »;Je travaille chez Adsearch à temps plein depuis moins d'un an;Avantagesl'ambiance, la confiance et le dépassement de soi;Inconvénientsdes procédures à mettre en place , permettant de passer de la startup à une société d'envergure supérieure !!;4.5
817;38;« Une expériences enrichissante !:) »;Je travaille chez Adsearch à temps plein;AvantagesLa bonne humeur, l'entraide et la jeunesse d'esprit de tous les adsearchers.;InconvénientsAucuns inconvénients probants. La marque se développe rapidement alors parfois l'organisation est un peu fouillis mais voilà tout.;4.5
818;40;« Emplois chez adéquat. »;J'ai travaillé chez Groupe Adéquat à temps plein;AvantagesPonctualité, sérieux, à l'écoute, souplesse., Régularité;InconvénientsAucun, aucun, aucun, aucun, aucun;3.9
819;40;« Peu d'avantage »;J'ai travaillé chez Groupe Adéquat à temps plein;AvantagesBienveillance, autonomie pour les commerciaux.;InconvénientsPas de 13ème mois, ni de RTT, salaires assez bas.;3.9
820;40;« Avantages »;J'ai travaillé chez Groupe Adéquat à temps partiel;"AvantagesBonne n e ambiance
Rtt une demi journée pour chaque salarié";"InconvénientsPas de ce
Car franchise";3.9
821;40;« Il y a bien mieux »;J'ai travaillé chez Groupe Adéquat à temps plein;AvantagesMutuelle et carte Tickets restaurants;InconvénientsPas de rtt pas de CE anormal pour une société de cette taille;3.9
822;40;« Assistante commerciale »;Je travaille chez Groupe Adéquat à temps plein;"AvantagesCommissions atteignable
150 euros de carte resto par mois
Mutuelle intéréssante
Prime intéressement";InconvénientsSalaire fixe pas très élevé mais les autres avantages compenses;3.9
823;40;« pourrait mieux faire »;Je travaille chez Groupe Adéquat à temps plein;Avantagesbonne ambiance, tickets restaurants, mutuelle bonne et réactive;Inconvénientspas d'avantages sociaux hormis les tickets restaurants,;3.9
824;40;« Groupe familial à taille humaine »;J'ai travaillé chez Groupe Adéquat à temps plein plus de 5 ans;AvantagesAutonomie, flexibilité, culture d'entreprise, évolution de carrière;InconvénientsManque de moyens informatiques, retard dématérialisation;3.9
825;40;« Mission intérimaire »;Je travaille chez Groupe Adéquat à;AvantagesLes missions proposés sont fréquentes;InconvénientsLes horaires, mission trop courte 4/5h;3.9
826;40;« Avis général »;J'ai travaillé chez Groupe Adéquat à temps plein;AvantagesLes tâches sont très variées.;InconvénientsTrop de travail pour une petite équipe.;3.9
827;40;« Les valeurs du groupe ne sont pas un leurre »;Je travaille chez Groupe Adéquat à temps plein depuis plus de 3 ans;"AvantagesTravailler dans une société où la simplicité et l'humain sont au coeur de la structure.
Bienveillance en interne pour que être bienveillant avec nos candidats et intérimaires.

Les salaires fixes ne sont pas énormes mais le variable est important et ACCESSIBLE !

La direction n'est qu'à un ou deux niveau au dessus de chaque employé ! Vous pouvez communiquer avec votre DG sans problème";InconvénientsComme toutes sociétés de recrutement, très peu d'avantages. Mais des supérieurs attentifs aux bien être des salariés.;3.9
828;40;« Super entreprise ! »;Je travaille chez Groupe Adéquat à temps plein depuis moins d'un an;AvantagesValeurs humaines et respect des individus, peu importe leur place dans l'entreprise, leur qualification et leur ancienneté;InconvénientsMutuelle beaucoup trop chère -> environ 50€/salarié/mois;3.9
829;40;« Avantages oui mais inconvénients aussi »;J'ai travaillé chez Groupe Adéquat à temps plein;AvantagesEntreprise qui respecte ses valeurs et a l'ecoute de ses salaries. Possibilités d'évolutions;InconvénientsIl faudrait juste revaloriser certains salaires. Malgré le nombre d'agences en France il n'y a pas de CE;3.9
830;40;« mauvaise accueil personne qui prend les intérim pour de la viande »;J'ai travaillé chez Groupe Adéquat à;AvantagesAccessible facilement plein centre Voiron;InconvénientsLocal mal entretenu voir mal nettoyé papiers mal rangées de partout manque de respect lors des entretiens;3.9
831;40;« Bienveillance et Performance »;Je travaille chez Groupe Adéquat à temps plein depuis moins d'un an;AvantagesDirection à l'écoute, réelles capacités d'évolution en lien avec le développement de l'entreprise.;InconvénientsCommunication sur la notoriété de l'entreprise;3.9
832;40;« Super Groupe !!! »;Je travaille chez Groupe Adéquat à;"AvantagesLe contact et les échanges la direction très appréciés,  bon horaire, super esprit d'équipe, bonne ambiance. 
Formation interne super !";"InconvénientsL'évolution des logiciels de travail, CRM,etc....Mais c'est en cours donc une fois mis en place ça devrait être parfait ! ;)";3.9
833;40;« Société respectueuse de ses salariés »;Je travaille chez Groupe Adéquat à temps plein depuis plus de 3 ans;AvantagesSociété saine et à l'écoute de ses salariés et des candidats;"InconvénientsUn CE serait apprécié
Adéquat est une société qui mériterait d'être davantage connue et reconnue. Il serait donc positif de communiquer davantage via les réseaux sociaux, publicité...";3.9
834;40;« Une entreprise avec de vraies valeurs humaines »;Je travaille chez Groupe Adéquat à;"AvantagesAdéquat sait reconnaître la valeur de ses salariés et offre de réelles perspectives d'évolution au sein du groupe. 
La proximité avec nos salariés intérimaires permet un suivi de qualité lors des missions confiées.";InconvénientsJe regrette un peu le manque d'un CE;3.9
835;40;« DE VRAIE VALEUR HUMAINE ET DE PARTAGE »;Je travaille chez Groupe Adéquat à temps plein depuis plus de 3 ans;"Avantages- Responsabilité
- autonomie
- Sensibilisation accrue en prévention des risques";"Inconvénients- CE a étoffer
- communication visuelle et marketing légère";3.9
836;40;« Une entreprise qui vous ouvre des perspectives »;Je travaille chez Groupe Adéquat à;"AvantagesLe Groupe Adéquat permet à tous les salariés d'évoluer rapidement.
Une entreprise qui à des valeurs et une approche humaine exceptionnelle.";"InconvénientsManque de communication externe & de publicité. 
Nos concurrents eux occupe la toile et nos écrans de télévision, pourquoi pas nous ?";3.9
